"A1_S5";"A1_S6";"A2_S6";"A2_S7";"A3_S7";"A3_S8";"E1_S8";"E1_S9";"E1_SG_S15";"E2_S10";"E2_S9";"E2_SG_S16";"E3_SG_S17";"TP1a_S_S6";"TP1a_S14";"TP1a_S16";"TP1b_S_S7";"TP1b_S15";"TP1b_S17";"TP1c_S_S10";"TP2a_S_S8";"TP2a_S16";"TP2a_S18";"TP2b_S_S9";"TP2b_S17";"TP2b_S19";"TP2c_S_S11";"W1_S10";"W1_S11";"W1_SG_S12";"W2_S11";"W2_S13";"W2_SG_S13";"W3_SG_S14";"WA3_S12";"WA3_S14";"WE_S13";"WE_S15";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"0";"0";"0";"0";"0";"0";"2";"5";"0";"0";"0";"0";"0";"8";"1";"5";"1";"45";"50";"0";"0";"3";"6";"1";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Microtrichaceae";"Sva0996_marine_group";"Bacteria";"Actinobacteria";"Acidimicrobiia";"Microtrichales";"Microtrichaceae";"Sva0996_marine_group"
"0";"0";"0";"0";"0";"0";"1";"5";"48";"0";"0";"20";"34";"3";"0";"2";"5";"1";"4";"5";"0";"1";"4";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Aestuariivita"
"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"8";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"0";"0";"4";"10";"14";"3";"33";"47";"12";"1";"0";"0";"0";"0";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Rubritalea";"Bacteria";"Verrucomicrobia";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Rubritalea"
"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"19";"5";"0";"0";"13";"0";"0";"17";"5";"0";"0";"14";"0";"0";"8";"0";"0";"31";"0";"0";"6";"5";"0";"0";"0";"0";"Archaea";"Halobacterota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum";"Archaea";"Euryarchaeota";"Methanomicrobia";"Methanomicrobiales";"Methanospirillaceae";"Methanospirillum"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"12";"14";"18";"1";"1";"11";"0";"3";"13";"58";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Magnetospiraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodospirillales";"Magnetospiraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"5";"1";"0";"0";"5";"0";"0";"1";"6";"13";"1";"23";"84";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"138";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"9";"27";"8";"1";"29";"19";"0";"0";"12";"17";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"SAR86_clade";NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"SAR86_clade";NA;NA
"55";"83";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Desulfobacterota";"Desulfuromonadia";"PB19";NA;NA;"Bacteria";"Proteobacteria";"Deltaproteobacteria";"PB19";NA;NA
"12";"7";"16";"24";"35";"39";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"Bacteria";"Bacteroidota";"Bacteroidia";"Sphingobacteriales";"NS11-12_marine_group";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Sphingobacteriales";"NS11-12_marine_group";NA
"7";"15";"2";"3";"3";"6";"1";"0";"6";"0";"0";"16";"2";"3";"0";"1";"7";"2";"2";"6";"11";"0";"2";"32";"0";"7";"0";"0";"0";"1";"0";"4";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methyloligellaceae";NA
"6";"15";"3";"0";"7";"34";"0";"0";"27";"0";"0";"8";"9";"1";"0";"0";"4";"0";"0";"6";"2";"1";"1";"10";"0";"0";"0";"2";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA
"2";"8";"4";"10";"4";"8";"0";"0";"0";"0";"0";"12";"42";"2";"0";"0";"0";"1";"1";"7";"13";"1";"10";"12";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methyloligellaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methyloligellaceae";NA
"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"93";"0";"0";"24";"0";"0";"0";"10";"0";"1";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Muricauda";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Muricauda"
"0";"1";"0";"0";"0";"0";"0";"0";"7";"0";"0";"15";"2";"16";"0";"0";"1";"23";"48";"1";"0";"1";"4";"1";"5";"11";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA
"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"1";"3";"2";"13";"9";"5";"7";"24";"30";"7";"1";"1";"5";"16";"0";"0";"1";"0";"2";"1";"1";"3";"2";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA
"0";"0";"0";"0";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"2";"1";"2";"0";"0";"12";"31";"1";"0";"0";"84";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Roseibacillus";"Bacteria";"Verrucomicrobia";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Roseibacillus"
"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"9";"0";"0";"0";"44";"0";"0";"44";"15";"0";"0";"9";"0";"0";"0";"0";"0";"3";"2";"1";"5";"5";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Bacteroidales";"Marinifilaceae";"Odoribacter";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Marinifilaceae";"Odoribacter"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"1";"0";"0";"0";"19";"24";"33";"5";"8";"21";"8";"0";"0";"1";"2";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Rubritalea";"Bacteria";"Verrucomicrobia";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Rubritalea"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"13";"0";"0";"12";"6";"0";"0";"44";"0";"0";"15";"0";"1";"3";"1";"5";"2";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"136";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"139";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"49";"77";"4";"5";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Cyclobacteriaceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Cytophagales";"Cyclobacteriaceae";NA
"21";"25";"1";"4";"0";"0";"0";"0";"10";"0";"0";"1";"0";"25";"0";"0";"7";"0";"0";"1";"20";"0";"0";"20";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"Bacteria";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"40";"6";"23";"2";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"2";"4";"0";"0";"3";"7";"0";"3";"24";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"4";"1";"30";"66";"0";"14";"0";"9";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"KI89A_clade";NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"KI89A_clade";NA;NA
"0";"2";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"15";"25";"2";"20";"57";"8";"1";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";"Cellvibrionaceae";NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";NA;NA
"0";"0";"1";"2";"0";"0";"0";"0";"39";"0";"0";"8";"13";"22";"0";"1";"18";"4";"6";"4";"2";"3";"14";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"6";"4";"19";"1";"5";"0";"8";"23";"6";"2";"0";"16";"2";"2";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"Pirellulaceae";"Rubripirellula";"Bacteria";"Planctomycetes";"Planctomycetacia";"Pirellulales";"Pirellulaceae";"Rubripirellula"
"0";"0";"0";"0";"0";"0";"0";"0";"39";"0";"0";"47";"7";"0";"0";"0";"0";"3";"7";"0";"0";"4";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"5";"2";"0";"10";"0";"14";"0";"1";"21";"0";"0";"42";"5";"0";"1";"29";"0";"0";"4";"1";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"Pirellulaceae";"Pirellula";"Bacteria";"Planctomycetes";"Planctomycetacia";"Pirellulales";"Pirellulaceae";"Pirellula"
"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"4";"0";"0";"60";"0";"0";"14";"0";"2";"0";"4";"6";"22";"3";"0";"0";"4";"0";"2";"0";"1";"6";"1";"2";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"5";"7";"15";"0";"31";"55";"0";"0";"5";"9";"0";"2";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"8";"31";"1";"21";"73";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"14";"48";"14";"20";"9";"27";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";"Marinicella";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";"Marinicella"
"5";"3";"2";"4";"2";"1";"0";"0";"3";"0";"0";"3";"1";"4";"0";"0";"57";"3";"7";"4";"0";"0";"0";"32";"1";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Silicimonas";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";NA
"5";"4";"2";"6";"2";"6";"0";"2";"0";"4";"3";"0";"0";"26";"1";"0";"6";"0";"0";"0";"0";"9";"55";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Parvularculaceae";NA
"5";"11";"2";"2";"3";"4";"0";"0";"12";"0";"0";"12";"29";"2";"0";"0";"6";"1";"2";"19";"0";"0";"1";"25";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Planctomycetota";"Planctomycetes";"Pirellulales";"Pirellulaceae";"Bythopirellula";"Bacteria";"Planctomycetes";"Planctomycetacia";"Pirellulales";"Pirellulaceae";"Bythopirellula"
"0";"2";"1";"0";"3";"0";"0";"0";"18";"0";"0";"1";"6";"21";"3";"1";"10";"3";"16";"8";"7";"2";"16";"10";"2";"5";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"NB1-j";NA;NA;NA;NA;"Bacteria";"Proteobacteria";"Deltaproteobacteria";"NB1-j";NA;NA
"0";"1";"0";"0";"0";"0";"2";"0";"38";"2";"4";"0";"0";"9";"3";"1";"5";"0";"0";"0";"5";"0";"0";"56";"0";"0";"3";"1";"1";"0";"4";"1";"0";"1";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA
"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"25";"36";"3";"26";"34";"4";"5";"0";"0";"0";"2";"Bacteria";"Bdellovibrionota";"Bdellovibrionia";"Bacteriovoracales";"Bacteriovoracaceae";NA;"Bacteria";"Proteobacteria";"Deltaproteobacteria";"Bdellovibrionales";"Bacteriovoracaceae";NA
"0";"0";"0";"1";"0";"0";"1";"2";"28";"1";"0";"9";"3";"10";"4";"5";"8";"11";"20";"1";"0";"2";"12";"12";"0";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"UBA10353_marine_group";NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"UBA10353_marine_group";NA;NA
"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"7";"11";"2";"0";"0";"0";"13";"30";"71";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"23";"0";"1";"0";"0";"86";"0";"0";"8";"0";"0";"0";"3";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Phormidesmiales";"Phormidesmiaceae";"Phormidesmis_ANT.LACV5.1";"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Phormidesmiales";"Phormidesmiaceae";"Phormidesmis_ANT.LACV5.1"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"12";"1";"5";"0";"41";"44";"0";"0";"2";"2";"0";"10";"19";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"5";"32";"1";"6";"41";"34";"0";"0";"3";"8";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Puniceispirillales";"SAR116_clade";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Puniceispirillales";"SAR116_clade";NA
"26";"23";"7";"5";"26";"39";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"3";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Ulvibacter";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA
"14";"38";"8";"12";"6";"11";"0";"0";"0";"0";"0";"1";"0";"0";"0";"4";"7";"6";"7";"4";"2";"0";"0";"3";"1";"1";"0";"0";"0";"0";"1";"10";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";NA
"14";"35";"22";"34";"7";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"SZB50";NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA
"1";"3";"4";"2";"12";"19";"1";"0";"1";"0";"0";"4";"4";"7";"0";"0";"9";"6";"19";"1";"0";"0";"3";"3";"3";"28";"1";"1";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiales_Incertae_Sedis";"Anderseniella";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiales_Incertae_Sedis";"Anderseniella"
"0";"2";"0";"1";"0";"0";"0";"0";"5";"3";"1";"6";"1";"43";"1";"1";"13";"5";"2";"14";"5";"0";"1";"28";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"Bacteria";"Actinobacteriota";"Acidimicrobiia";"Microtrichales";"Microtrichaceae";NA;"Bacteria";"Actinobacteria";"Acidimicrobiia";"Microtrichales";"Microtrichaceae";NA
"0";"1";"0";"1";"4";"6";"0";"0";"2";"0";"0";"5";"0";"1";"0";"1";"7";"14";"23";"0";"41";"0";"5";"18";"0";"0";"1";"0";"0";"3";"1";"2";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Aquibacter";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Aquibacter"
"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"4";"0";"52";"6";"2";"0";"4";"5";"0";"49";"1";"10";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA
"0";"0";"0";"0";"0";"0";"0";"1";"17";"1";"3";"18";"43";"8";"0";"0";"8";"0";"7";"12";"3";"1";"4";"1";"0";"0";"3";"2";"2";"0";"0";"2";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Celeribacter";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"Celeribacter"
"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"1";"3";"0";"0";"0";"0";"0";"117";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"1";"18";"0";"0";"3";"2";"0";"0";"2";"0";"0";"1";"0";"0";"102";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";"Rubidimonas";"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";"Rubidimonas"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";NA;NA;NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"35";"0";"6";"50";"19";"0";"0";"9";"13";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";"Halieaceae";"OM60(NOR5)_clade";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";"Halieaceae";"OM60(NOR5)_clade"
"25";"30";"6";"7";"11";"15";"0";"0";"3";"0";"0";"4";"0";"11";"0";"0";"2";"0";"0";"0";"1";"1";"1";"6";"0";"1";"1";"2";"2";"0";"0";"5";"1";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Micavibrionales";"Micavibrionaceae";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Micavibrionales";"Micavibrionaceae";NA
"6";"12";"6";"16";"9";"15";"0";"0";"10";"0";"0";"14";"1";"0";"0";"1";"1";"0";"1";"0";"7";"0";"0";"1";"0";"0";"34";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA
"0";"0";"0";"0";"0";"0";"0";"1";"2";"3";"3";"0";"1";"38";"2";"1";"4";"0";"0";"6";"5";"3";"3";"26";"0";"1";"6";"1";"1";"1";"9";"9";"4";"1";"0";"0";"3";"1";"Bacteria";"Bacteroidota";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Chitinophagales";"Saprospiraceae";NA
"0";"0";"0";"0";"0";"0";"0";"0";"73";"0";"0";"6";"0";"9";"0";"0";"4";"0";"1";"1";"0";"0";"0";"26";"0";"0";"1";"1";"4";"3";"2";"1";"1";"2";"0";"0";"0";"0";"Bacteria";"Bacteroidota";"Bacteroidia";"Cytophagales";"Cyclobacteriaceae";"Fulvivirga";"Bacteria";"Bacteroidetes";"Bacteroidia";"Cytophagales";"Cyclobacteriaceae";"Fulvivirga"
"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"24";"25";"22";"0";"0";"0";"0";"0";"12";"1";"3";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Verrucomicrobiota";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Roseibacillus";"Bacteria";"Verrucomicrobia";"Verrucomicrobiae";"Verrucomicrobiales";"Rubritaleaceae";"Roseibacillus"
