"A1_S5";"A1_S6";"A2_S6";"A2_S7";"A3_S7";"A3_S8";"E1_S8";"E1_S9";"E1_SG_S15";"E2_S10";"E2_S9";"E2_SG_S16";"E3_SG_S17";"TP1a_S_S6";"TP1a_S14";"TP1a_S16";"TP1b_S_S7";"TP1b_S15";"TP1b_S17";"TP1c_S_S10";"TP2a_S_S8";"TP2a_S16";"TP2a_S18";"TP2b_S_S9";"TP2b_S17";"TP2b_S19";"TP2c_S_S11";"W1_S10";"W1_S11";"W1_SG_S12";"W2_S11";"W2_S13";"W2_SG_S13";"W3_SG_S14";"WA3_S12";"WA3_S14";"WE_S13";"WE_S15";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"2";"2";"0";"5";"0";"2";"0";"4";"232";"11";"2";"111";"1200";"166";"0";"1";"944";"1";"0";"624";"644";"0";"4";"365";"0";"2";"310";"7";"14";"572";"4";"9";"289";"155";"0";"3";"0";"1";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacterales";"Enterobacteriaceae";"Escherichia/Shigella";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Escherichia/Shigella"
"132";"183";"36";"56";"2121";"3088";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"2";"2";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"0";"0";"0";"0";"0";"1";"15";"46";"415";"16";"11";"416";"405";"107";"75";"116";"350";"669";"984";"305";"190";"38";"168";"499";"19";"69";"28";"16";"15";"0";"25";"32";"3";"2";"0";"0";"0";"3";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"D90";NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"D90";NA;NA
"8";"4";"7";"10";"2319";"2647";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA
"23";"43";"9";"11";"1";"4";"3";"10";"442";"39";"19";"117";"21";"255";"22";"47";"881";"78";"135";"1512";"20";"23";"105";"782";"13";"44";"49";"2";"2";"1";"2";"4";"0";"0";"0";"0";"1";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingorhabdus";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingorhabdus"
"820";"863";"1273";"1298";"4";"2";"0";"0";"160";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA;"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rickettsiales";"Mitochondria";NA
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"47";"79";"1421";"8";"26";"1535";"1108";"0";"0";"73";"101";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"SAR86_clade";NA;NA;"Bacteria";"Proteobacteria";"Gammaproteobacteria";"SAR86_clade";NA;NA
"0";"0";"0";"0";"0";"0";"11";"26";"0";"107";"59";"4";"0";"658";"19";"37";"1418";"618";"995";"0";"57";"9";"66";"1";"0";"0";"304";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Chloroplast";NA;NA;"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Chloroplast";NA;NA
"1";"1";"0";"0";"0";"1";"0";"0";"0";"8";"4";"0";"0";"0";"1";"0";"45";"0";"0";"2";"4";"0";"0";"1";"0";"0";"1";"645";"1140";"25";"773";"1607";"35";"38";"0";"0";"1";"4";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Vibrio"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"41";"51";"1206";"35";"46";"868";"1909";"0";"0";"69";"81";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Cryomorphaceae";NA;"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Cryomorphaceae";NA
"0";"1";"0";"0";"0";"0";"6";"12";"270";"15";"12";"751";"630";"203";"12";"16";"146";"120";"250";"669";"192";"27";"135";"699";"8";"35";"39";"1";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"Bacteria";"Cyanobacteria";"Cyanobacteriia";"Thermosynechococcales";"Acaryochloridaceae";"Acaryochloris_MBIC11017";"Bacteria";"Cyanobacteria";"Oxyphotobacteria";"Thermosynechococcales";"Acaryochloridaceae";"Acaryochloris_MBIC11017"
"70";"147";"70";"143";"54";"111";"46";"206";"512";"39";"13";"179";"160";"54";"21";"26";"167";"165";"422";"203";"130";"47";"219";"716";"36";"211";"16";"2";"9";"0";"5";"6";"0";"0";"1";"0";"0";"0";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Pseudahrensia";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Pseudahrensia"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"21";"58";"590";"27";"93";"1070";"2057";"0";"0";"58";"111";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"HIMB11";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhodobacterales";"Rhodobacteraceae";"HIMB11"
"0";"1";"0";"0";"0";"0";"0";"0";"0";"6";"4";"0";"0";"0";"0";"0";"3";"2";"8";"0";"0";"0";"1";"1";"0";"0";"2";"353";"595";"1";"1112";"1987";"1";"1";"0";"0";"2";"0";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Aliivibrio";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Vibrionales";"Vibrionaceae";"Aliivibrio"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1079";"1";"0";"947";"2003";"0";"0";"2";"1";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"NS5_marine_group";"Bacteria";"Bacteroidetes";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"NS5_marine_group"
